address,city,province,postalCode,numBedroom,numBathroom,yearBuilt,mostRecentPriceAmount,mostRecentRentalPriceAmount
1 Queen St,Ottawa,BC,A1B1C1,2,2,1991,205000,1020
2 Main St,Mississauga,AB,A2B2C2,3,3,1992,210000,1040
3 Bay St,Vancouver,QC,A3B3C3,4,1,1993,215000,1060
4 Maple St,Calgary,MB,A4B4C4,5,2,1994,220000,1080
5 Pine St,Edmonton,NS,A5B5C5,1,3,1995,225000,1100
6 Cedar St,Montreal,ON,A6B6C6,2,1,1996,230000,1120
7 Elm St,Winnipeg,BC,A7B7C7,3,2,1997,235000,1140
8 Lake St,Quebec,AB,A8B8C8,4,3,1998,240000,1160
9 Hill St,Halifax,QC,A9B9C9,5,1,1999,245000,1180
10 King St,Toronto,MB,A0B0C0,1,2,2000,250000,1200
11 Queen St,Ottawa,NS,A1B1C1,2,3,2001,255000,1220
12 Main St,Mississauga,ON,A2B2C2,3,1,2002,260000,1240
13 Bay St,Vancouver,BC,A3B3C3,4,2,2003,265000,1260
14 Maple St,Calgary,AB,A4B4C4,5,3,2004,270000,1280
15 Pine St,Edmonton,QC,A5B5C5,1,1,2005,275000,1300
16 Cedar St,Montreal,MB,A6B6C6,2,2,2006,280000,1320
17 Elm St,Winnipeg,NS,A7B7C7,3,3,2007,285000,1340
18 Lake St,Quebec,ON,A8B8C8,4,1,2008,290000,1360
19 Hill St,Halifax,BC,A9B9C9,5,2,2009,295000,1380
20 King St,Toronto,AB,A0B0C0,1,3,2010,300000,1400
21 Queen St,Ottawa,QC,A1B1C1,2,1,2011,305000,1420
22 Main St,Mississauga,MB,A2B2C2,3,2,2012,310000,1440
23 Bay St,Vancouver,NS,A3B3C3,4,3,2013,315000,1460
24 Maple St,Calgary,ON,A4B4C4,5,1,2014,320000,1480
25 Pine St,Edmonton,BC,A5B5C5,1,2,2015,325000,1500
26 Cedar St,Montreal,AB,A6B6C6,2,3,2016,330000,1520
27 Elm St,Winnipeg,QC,A7B7C7,3,1,2017,335000,1540
28 Lake St,Quebec,MB,A8B8C8,4,2,2018,340000,1560
29 Hill St,Halifax,NS,A9B9C9,5,3,2019,345000,1580
30 King St,Toronto,ON,A0B0C0,1,1,1990,350000,1600
31 Queen St,Ottawa,BC,A1B1C1,2,2,1991,355000,1620
32 Main St,Mississauga,AB,A2B2C2,3,3,1992,360000,1640
33 Bay St,Vancouver,QC,A3B3C3,4,1,1993,365000,1660
34 Maple St,Calgary,MB,A4B4C4,5,2,1994,370000,1680
35 Pine St,Edmonton,NS,A5B5C5,1,3,1995,375000,1700
36 Cedar St,Montreal,ON,A6B6C6,2,1,1996,380000,1720
37 Elm St,Winnipeg,BC,A7B7C7,3,2,1997,385000,1740
38 Lake St,Quebec,AB,A8B8C8,4,3,1998,390000,1760
39 Hill St,Halifax,QC,A9B9C9,5,1,1999,395000,1780
40 King St,Toronto,MB,A0B0C0,1,2,2000,400000,1800
41 Queen St,Ottawa,NS,A1B1C1,2,3,2001,405000,1820
42 Main St,Mississauga,ON,A2B2C2,3,1,2002,410000,1840
43 Bay St,Vancouver,BC,A3B3C3,4,2,2003,415000,1860
44 Maple St,Calgary,AB,A4B4C4,5,3,2004,420000,1880
45 Pine St,Edmonton,QC,A5B5C5,1,1,2005,425000,1900
46 Cedar St,Montreal,MB,A6B6C6,2,2,2006,430000,1920
47 Elm St,Winnipeg,NS,A7B7C7,3,3,2007,435000,1940
48 Lake St,Quebec,ON,A8B8C8,4,1,2008,440000,1960
49 Hill St,Halifax,BC,A9B9C9,5,2,2009,445000,1980
50 King St,Toronto,AB,A0B0C0,1,3,2010,450000,2000
51 Queen St,Ottawa,QC,A1B1C1,2,1,2011,455000,2020
52 Main St,Mississauga,MB,A2B2C2,3,2,2012,460000,2040
53 Bay St,Vancouver,NS,A3B3C3,4,3,2013,465000,2060
54 Maple St,Calgary,ON,A4B4C4,5,1,2014,470000,2080
55 Pine St,Edmonton,BC,A5B5C5,1,2,2015,475000,2100
56 Cedar St,Montreal,AB,A6B6C6,2,3,2016,480000,2120
57 Elm St,Winnipeg,QC,A7B7C7,3,1,2017,485000,2140
58 Lake St,Quebec,MB,A8B8C8,4,2,2018,490000,2160
59 Hill St,Halifax,NS,A9B9C9,5,3,2019,495000,2180
60 King St,Toronto,ON,A0B0C0,1,1,1990,500000,2200
61 Queen St,Ottawa,BC,A1B1C1,2,2,1991,505000,2220
62 Main St,Mississauga,AB,A2B2C2,3,3,1992,510000,2240
63 Bay St,Vancouver,QC,A3B3C3,4,1,1993,515000,2260
64 Maple St,Calgary,MB,A4B4C4,5,2,1994,520000,2280
65 Pine St,Edmonton,NS,A5B5C5,1,3,1995,525000,2300
66 Cedar St,Montreal,ON,A6B6C6,2,1,1996,530000,2320
67 Elm St,Winnipeg,BC,A7B7C7,3,2,1997,535000,2340
68 Lake St,Quebec,AB,A8B8C8,4,3,1998,540000,2360
69 Hill St,Halifax,QC,A9B9C9,5,1,1999,545000,2380
70 King St,Toronto,MB,A0B0C0,1,2,2000,550000,2400
71 Queen St,Ottawa,NS,A1B1C1,2,3,2001,555000,2420
72 Main St,Mississauga,ON,A2B2C2,3,1,2002,560000,2440
73 Bay St,Vancouver,BC,A3B3C3,4,2,2003,565000,2460
74 Maple St,Calgary,AB,A4B4C4,5,3,2004,570000,2480
75 Pine St,Edmonton,QC,A5B5C5,1,1,2005,575000,2500
76 Cedar St,Montreal,MB,A6B6C6,2,2,2006,580000,2520
77 Elm St,Winnipeg,NS,A7B7C7,3,3,2007,585000,2540
78 Lake St,Quebec,ON,A8B8C8,4,1,2008,590000,2560
79 Hill St,Halifax,BC,A9B9C9,5,2,2009,595000,2580
80 King St,Toronto,AB,A0B0C0,1,3,2010,600000,2600
81 Queen St,Ottawa,QC,A1B1C1,2,1,2011,605000,2620
82 Main St,Mississauga,MB,A2B2C2,3,2,2012,610000,2640
83 Bay St,Vancouver,NS,A3B3C3,4,3,2013,615000,2660
84 Maple St,Calgary,ON,A4B4C4,5,1,2014,620000,2680
85 Pine St,Edmonton,BC,A5B5C5,1,2,2015,625000,2700
86 Cedar St,Montreal,AB,A6B6C6,2,3,2016,630000,2720
87 Elm St,Winnipeg,QC,A7B7C7,3,1,2017,635000,2740
88 Lake St,Quebec,MB,A8B8C8,4,2,2018,640000,2760
89 Hill St,Halifax,NS,A9B9C9,5,3,2019,645000,2780
90 King St,Toronto,ON,A0B0C0,1,1,1990,650000,2800
91 Queen St,Ottawa,BC,A1B1C1,2,2,1991,655000,2820
92 Main St,Mississauga,AB,A2B2C2,3,3,1992,660000,2840
93 Bay St,Vancouver,QC,A3B3C3,4,1,1993,665000,2860
94 Maple St,Calgary,MB,A4B4C4,5,2,1994,670000,2880
95 Pine St,Edmonton,NS,A5B5C5,1,3,1995,675000,2900
96 Cedar St,Montreal,ON,A6B6C6,2,1,1996,680000,2920
97 Elm St,Winnipeg,BC,A7B7C7,3,2,1997,685000,2940
98 Lake St,Quebec,AB,A8B8C8,4,3,1998,690000,2960
99 Hill St,Halifax,QC,A9B9C9,5,1,1999,695000,2980
100 King St,Toronto,MB,A0B0C0,1,2,2000,700000,3000
